valid_time,sp,tp,,
02/01/1950 00:00,102137.89,3.9327233e-08,,
02/01/1950 01:00,102135.22,4.004687e-08,,
02/01/1950 02:00,102113.33,-9.31E-10,,
02/01/1950 03:00,102080.125,-1.86E-09,,
02/01/1950 04:00,102000.16,0,,
02/01/1950 05:00,101961.22,0,,
02/01/1950 06:00,101925.97,0,,
02/01/1950 07:00,101895.23,0,,
02/01/1950 08:00,101918.19,0,,
02/01/1950 09:00,101852.695,0,,
02/01/1950 10:00,101814.16,7.450581e-09,,
02/01/1950 11:00,101731.375,0,,
02/01/1950 12:00,101591.9,0,,
02/01/1950 13:00,101520.28,8.5830686e-07,,
02/01/1950 14:00,101426.4,0,,
02/01/1950 15:00,101314.86,0,,
02/01/1950 16:00,101234.09,-1.49E-08,,
02/01/1950 17:00,101175.87,0,,
02/01/1950 18:00,101092.67,0,,
02/01/1950 19:00,101111.875,0,,
02/01/1950 20:00,101007.67,0,,
02/01/1950 21:00,100859.766,0,,
02/01/1950 22:00,100797.805,0,,
02/01/1950 23:00,100684.34,0,,
03/01/1950 00:00,100594.45,0,,
03/01/1950 01:00,100534.54,0,,
03/01/1950 02:00,100456.28,0,,
03/01/1950 03:00,100372.19,0,,
03/01/1950 04:00,100262.94,0,,
03/01/1950 05:00,100173.87,0,,
03/01/1950 06:00,100115.39,0,,
03/01/1950 07:00,100089.53,8.612871e-06,,
03/01/1950 08:00,100092.83,7.2523944e-06,,
03/01/1950 09:00,100097.734,0,,
03/01/1950 10:00,100025.34,7.450581e-09,,
03/01/1950 11:00,100019.81,0,,
03/01/1950 12:00,99934.83,0,,
03/01/1950 13:00,99962.8,0,,
03/01/1950 14:00,99896.26,0,,
03/01/1950 15:00,99873.71,0,,
03/01/1950 16:00,99832.61,0,,
03/01/1950 17:00,99826.17,0,,
03/01/1950 18:00,99850.08,0,,
03/01/1950 19:00,99787.17,0,,
03/01/1950 20:00,99774.02,0,,
03/01/1950 21:00,99766.41,0,,
03/01/1950 22:00,99745.83,0,,
03/01/1950 23:00,99747.3,0,,
04/01/1950 00:00,99719.02,0,,
04/01/1950 01:00,99728.05,0,,
04/01/1950 02:00,99721.484,0,,
04/01/1950 03:00,99678.95,0,,
04/01/1950 04:00,99634.125,0,,
04/01/1950 05:00,99618.41,0,,
04/01/1950 06:00,99667.44,0,,
04/01/1950 07:00,99655.91,0,,
04/01/1950 08:00,99738.484,0,,
04/01/1950 09:00,99735.875,8.597969e-07,,
04/01/1950 10:00,99719.555,-7.45E-09,,
04/01/1950 11:00,99700.695,0,,
04/01/1950 12:00,99634.3,0,,
04/01/1950 13:00,99634.266,0,,
04/01/1950 14:00,99667.16,4.326153e-07,,
04/01/1950 15:00,99680.484,0,,
04/01/1950 16:00,99694.81,0,,
04/01/1950 17:00,99762.33,0,,
04/01/1950 18:00,99794.11,0,,
04/01/1950 19:00,99689.78,2.9803005e-09,,
04/01/1950 20:00,99746.09,-6.44E-09,,
04/01/1950 21:00,99793.64,0,,
04/01/1950 22:00,99837.92,0,,
